"smu","erodi","erodi_c","erodi_p","txerod","txerod_c","txerod_p","crusting","crusting_c","crusting_p","physchim","physchim_c","physchim_p","txcrust","txcrust_c","txcrust_p","eawc_sub","eawc_sub_c","eawc_sub_p","awc_sub","awc_sub_c","awc_sub_p","eawc_top","eawc_top_c","eawc_top_p","awc_top","awc_top_c","awc_top_p","pd_sub","pd_sub_c","pd_sub_p","pd_top","pd_top_c","pd_top_p","str_sub","str_sub_c","str_sub_p","str_top","str_top_c","str_top_p","td","td_c","td_p","vs","vs_c","vs_p","dr","dr_c","dr_p","bs_sub","bs_sub_c","bs_sub_p","bs_top","bs_top_c","bs_top_p","cec_sub","cec_sub_c","cec_sub_p","cec_top","cec_top_c","cec_top_p","min_sub","min_sub_c","min_sub_p","min_top","min_top_c","min_top_p","min","min_c","min_p","diff","diff_c","diff_p","atc","atc_c","atc_p","hg","hg_c","hg_p","dimp","dimp_c","dimp_p","dgh","dgh_c","dgh_p","pmh","pmh_c","pmh_p","peat","peat_c","peat_p","oc_top","oc_top_c","oc_top_p","alt","alt_c","alt_p","use","use_c","use_p","agli2nni","agli2nni_c","agli2nni_p","agli1nni","agli1nni_c","agli1nni_p","text","text_c","text_p"
"70322","4","m","90.000000","4","m","100.000000","2","m","100.000000","3","m","90.000000","2","m","100.000000","L ","m","90.000000","L ","m","90.000000","M ","v","100.000000","M ","v","100.000000","M","m","90.000000","M","v","90.000000","N","m","90.000000","N","v","90.000000","1","l","100.000000","15","m","90.000000","M","l","100.000000","L","m","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","100.000000"
"70323","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","100.000000","2","m","90.000000","L ","m","90.000000","L ","m","90.000000","M ","v","90.000000","M ","v","90.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","90.000000"
"70324","4","m","90.000000","4","m","90.000000","2","m","90.000000","3","m","90.000000","2","m","90.000000","L ","m","90.000000","L ","m","90.000000","M ","v","90.000000","M ","v","90.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","L","m","90.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","90.000000"
"70325","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","100.000000","2","m","90.000000","L ","m","90.000000","L ","m","90.000000","M ","v","90.000000","M ","v","90.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","L","m","90.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","90.000000"
"70326","4","m","100.000000","4","m","100.000000","2","m","100.000000","3","m","100.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","90.000000","15","m","100.000000","M","l","90.000000","L","m","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","2","m","90.000000","1","m","100.000000"
"70327","4","m","90.000000","4","m","90.000000","2","m","90.000000","3","m","90.000000","2","m","90.000000","L ","m","90.000000","L ","m","90.000000","M ","v","90.000000","M ","v","90.000000","M","m","90.000000","M","v","90.000000","N","m","90.000000","N","v","90.000000","1","l","90.000000","15","m","90.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","90.000000","1C","v","90.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","90.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","90.000000"
"70328","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","90.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","1","l","100.000000","15","m","90.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","C ","m","100.000000","L","m","100.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","90.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","100.000000"
"70329","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","90.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","1","l","100.000000","15","m","100.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","100.000000","L","m","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","100.000000","1","m","100.000000"
"70330","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","90.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","1","l","100.000000","15","m","90.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","100.000000","L","m","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","1","m","100.000000"
"70331","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","90.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","1","l","100.000000","15","m","100.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","100.000000","L","m","90.000000","#","m","90.000000","1C","v","90.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","100.000000","1","m","100.000000"
"70332","4","m","100.000000","4","m","100.000000","2","m","90.000000","3","m","100.000000","2","m","90.000000","L ","m","90.000000","L ","m","90.000000","M ","v","90.000000","M ","v","90.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","90.000000","15","m","100.000000","M","l","90.000000","L","m","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","2","m","90.000000","1","m","90.000000"
"70333","4","m","100.000000","4","m","100.000000","2","m","100.000000","3","m","100.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","90.000000","15","m","100.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","2","m","90.000000","1","m","100.000000"
"70334","4","m","100.000000","4","m","100.000000","2","m","100.000000","3","m","100.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","90.000000","15","m","100.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","#","m","90.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","100.000000","1","m","100.000000"
"70335","4","m","100.000000","4","m","100.000000","2","m","100.000000","3","m","100.000000","2","m","100.000000","L ","m","100.000000","L ","m","100.000000","M ","v","100.000000","M ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","1","l","100.000000","15","m","100.000000","M","l","100.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","100.000000","L","m","100.000000","#","m","100.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","V","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","100.000000","1","m","100.000000"
"70336","4","m","100.000000","4","m","100.000000","3","m","90.000000","3","m","90.000000","3","m","90.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","l","100.000000","15","m","90.000000","M","l","90.000000","L","m","90.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","H","m","90.000000","1C","v","100.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","90.000000","2","m","100.000000"
"70337","4","m","100.000000","4","m","100.000000","3","m","100.000000","3","m","100.000000","3","m","100.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","l","90.000000","15","m","100.000000","M","l","90.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","90.000000","NA","m","100.000000","NA","m","100.000000","C ","m","90.000000","L","m","90.000000","H","m","90.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","L","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","2","m","90.000000","2","m","100.000000"
"70338","4","m","100.000000","4","m","100.000000","3","m","100.000000","3","m","100.000000","3","m","100.000000","H ","m","100.000000","H ","m","100.000000","H ","v","100.000000","H ","v","100.000000","M","m","100.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","2","l","100.000000","15","m","100.000000","M","l","100.000000","L","m","100.000000","H","v","100.000000","M","l","100.000000","L","v","100.000000","NA","m","100.000000","NA","m","100.000000","C ","m","100.000000","L","m","100.000000","H","m","100.000000","1C","v","100.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","L","v","100.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","100.000000","2","m","100.000000"
"70339","2","m","70.000000","2","m","70.000000","2","m","70.000000","3","m","80.000000","2","m","80.000000","M ","m","70.000000","M ","m","70.000000","H ","v","90.000000","H ","v","90.000000","H","m","70.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","5","l","70.000000","15","m","70.000000","D","l","80.000000","H","m","90.000000","H","v","100.000000","M","l","100.000000","H","v","70.000000","NA","m","100.000000","NA","m","100.000000","ND","m","70.000000","O","m","70.000000","#","m","100.000000","1C","v","80.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","M","v","80.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","70.000000","5","m","70.000000"
"70340","2","m","70.000000","2","m","70.000000","2","m","70.000000","3","m","90.000000","2","m","80.000000","M ","m","70.000000","M ","m","70.000000","H ","v","80.000000","H ","v","80.000000","H","m","70.000000","M","v","90.000000","N","m","100.000000","N","v","90.000000","5","l","70.000000","15","m","80.000000","D","l","90.000000","H","m","80.000000","H","v","100.000000","M","l","100.000000","H","v","70.000000","NA","m","100.000000","NA","m","100.000000","ND","m","80.000000","O","m","80.000000","#","m","100.000000","1C","v","80.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","M","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","80.000000","5","m","70.000000"
"70341","2","m","70.000000","2","m","70.000000","2","m","70.000000","3","m","90.000000","2","m","80.000000","M ","m","70.000000","M ","m","70.000000","H ","v","80.000000","H ","v","80.000000","H","m","70.000000","M","v","80.000000","N","m","100.000000","N","v","80.000000","5","l","70.000000","15","m","80.000000","D","l","90.000000","H","m","90.000000","H","v","100.000000","M","l","100.000000","H","v","70.000000","NA","m","100.000000","NA","m","100.000000","ND","m","80.000000","O","m","80.000000","#","m","90.000000","1C","v","90.000000","D","m","100.000000","V","m","100.000000","#","v","100.000000","N","m","100.000000","M","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","90.000000","2","m","70.000000","5","m","70.000000"
"70342","2","m","80.000000","2","m","80.000000","2","m","80.000000","3","m","100.000000","2","m","80.000000","M ","m","80.000000","M ","m","80.000000","H ","v","100.000000","H ","v","100.000000","H","m","80.000000","M","v","100.000000","N","m","100.000000","N","v","100.000000","5","l","80.000000","15","m","80.000000","D","l","90.000000","H","m","100.000000","H","v","100.000000","M","l","100.000000","H","v","80.000000","NA","m","100.000000","NA","m","100.000000","ND","m","90.000000","O","m","90.000000","#","m","100.000000","1C","v","90.000000","D","m","100.000000","V","m","90.000000","#","v","100.000000","N","m","100.000000","M","v","90.000000","L","m","100.000000","# ","v","100.000000","1","m","100.000000","2","m","80.000000","5","m","80.000000"
